Identifiant,Pages,Lignes,file,Sub-corpus,Imprimeur,Titre bref,Auteur,Date,Lieu,Lien fac-similé numérique,Lieu de conservation
CRRPV01,415,12.421,CRRPV01_Premiere_union.tsv,1-standard,Pierre de Vingle,Premiere union,Herman Bodius,1533,[Genève],https://doi.org/10.3931/e-rara-12757,Genève MHR K Buc 6(1)
CRRPV03,128,3.473,CRRPV03_Instruction_des_enfans.tsv,1-standard,Pierre de Vingle,Instruction des enfans,[Pierre Robert Olivétan],1533,Genève,https://doi.org/10.3931/e-rara-6933,Genève BGE Cth 2651 / BGE Bd 1477
CRRPV04,29,701,CRRPV04_Grans_pardons_et_indulgences.tsv,1-standard,Pierre de Vingle,Grans pardons et indulgences,[Anonyme],[1533?],[Genève],https://doi.org/10.3931/e-rara-33167,Neuchâtel BPUN A.F. C 30
CRRPV08,46,893,CRRPV08_Livre_des_marchans.tsv,1-standard,Pierre de Vingle,Livre des marchans,[Antoine Marcourt],1533,[Neuchâtel],https://doi.org/10.3931/e-rara-539,Zurich Res 1330
CRRPV09,87,1.747,CRRPV09_Maniere_et_fasson.tsv,1-standard,Pierre de Vingle,Maniere et fasson ,[Guillaume Farel],1533,Neuchâtel,https://doi.org/10.3931/e-rara-5945,Genève BGE Cth 2649 / BGE Bd 1474
CRRPV12,48,1.206,CRRPV12_Plusieurs_chansons.tsv,1-standard,Pierre de Vingle,Plusieurs belles et bonnes chansons,[Matthieu Malingre],1533,[Neuchâtel],https://doi.org/10.3931/e-rara-6934, Genève BGE Cth 2650 (1) / BGE Bd 1475 (1)
CRRPV13,48,1.184,CRRPV13_Noelz_nouveaulx.tsv,1-standard,Pierre de Vingle,Noelz nouveaulx,[Matthieu Malingre],[1533?],[Neuchâtel],https://doi.org/10.3931/e-rara-577,Zurich Res 1332
CRRPV16,16,405,CRRPV16_Chansons_nouvelles.tsv,1-standard,Pierre de Vingle,Chansons nouvelles,[Matthieu Malingre?],[1534?],[Neuchâtel],https://doi.org/10.3931/e-rara-576,Zurich Res 1327
CRRPV19,48,1.934,CRRPV19_Faictz.tsv,1-standard,Pierre de Vingle,Faictz de Jesus Christ et du Pape,[Anonyme],[1534?],[Neuchâtel],https://gallica.bnf.fr/ark:/12148/bd6t53789915t,Paris ANDRE 1001
CRRPV20,1,70,CRRPV20_Articles_veritables.tsv,1-standard,Pierre de Vingle,Articles veritables,[Antoine Marcourt],[1534],[Neuchâtel],https://doc.rero.ch/record/20834,Neuchâtel BPUN ZU 143 / BPUN ZU 292
CRRPV21,78,1.864,CRRPV21_Petit_traicte.tsv,1-standard,Pierre de Vingle,Petit traicte,[Antoine Marcourt],1534,[Neuchâtel],https://dx.doi.org/10.3931/e-rara-6082,Neuchâtel BPUN A.F. C 49 D
CRRPV22,96,2.372,CRRPV22_Declaration_de_la_messe.tsv,1-standard,Pierre de Vingle,Declaration de la messe,[Antoine Marcourt],[1534],[Neuchâtel],https://doi.org/10.3931/e-rara-33158,Neuchâtel BPUN A.F. C 49 B
CRRPV23,208,4.907,CRRPV23_Summaire_et_briefve_declaration.tsv,1-standard,Pierre de Vingle,Summaire et briefve declaration,[Guillaume Farel],1534,[Neuchâtel],https://doi.org/10.3931/e-rara-5944,Genève BGE Cth 2508 / BGE Bc 3379
CRRPV25,93,2.273,CRRPV25_Letres_certaines.tsv,1-standard,Pierre de Vingle,Letres certaines,[Guillaume Farel],[1534],[Neuchâtel],https://digitale-sammlungen.de/en/view/bsb10194057,Munich Polem. 1608
CRRPV11,96,2.485,CRRPV11_Moralite,test,Pierre de Vingle,Moralite de la maladie de Chrestiente,[Matthieu Malingre],1533,	[Neuchâtel],https://doi.org/10.3931/e-rara-563,	Zurich Res 1331
